time_s,SoC,V_terminal_V,V_oc_V,current_A,power_W,temp_C,V_RC1_V,V_RC2_V,capacity_Ah,cycle_count
1.0,0.9997222222222222,4.034411649588219,4.199666666666666,50.0,201.72058247941095,25.015625,0.0047581290982020245,0.0004968879802447424,49.99999993055555,0.0001388888888888889
2.0,0.9994444444440586,4.02934863223296,4.199333333332871,50.0,201.467431611648,25.031236591296874,0.009063525556736595,0.0009876042996012947,49.999999861111114,0.0002777777777777778
3.0,0.9991666666655091,4.0247013163714875,4.198999999998611,50.0,201.23506581857438,25.046834779820927,0.012959346595611532,0.001472226646794547,49.99999979166667,0.00041666666666666664
4.0,0.9988888888865739,4.020430585686084,4.198666666663889,50.0,201.0215292843042,25.062419571500755,0.016484631800625163,0.0019508317248147487,49.99999972222222,0.0005555555555555556
5.0,0.9986111111072529,4.016501049257358,4.198333333328703,50.0,200.82505246286792,25.077990972263365,0.01967469633239039,0.0024234952635240085,49.999999652777774,0.0006944444444444445
6.0,0.998333333327546,4.012880685925067,4.197999999993056,50.0,200.64403429625335,25.093548988034,0.022561486553067656,0.002890292032100245,49.999999583333334,0.0008333333333333334
7.0,0.9980555555474534,4.00954052263614,4.197666666656945,50.0,200.477026131807,25.10909362473626,0.02517390166606224,0.003351295851320677,49.99999951388889,0.0009722222222222223
8.0,0.997777777766975,4.006454343528876,4.19733333332037,50.0,200.3227171764438,25.124624888292033,0.027538084619698013,0.0038065796056869585,49.99999944444444,0.0011111111111111111
9.0,0.9974999999861107,4.0035984268135705,4.196999999983333,50.0,200.17992134067853,25.140142784621446,0.02967768521462712,0.004256215255394001,49.999999375,0.00125
10.0,0.9972222222048607,4.000951306791212,4.196666666645833,50.0,200.04756533956058,25.155647319643094,0.03161409807330875,0.004700273848144517,49.999999305555555,0.001388888888888889
11.0,0.9969444444232248,3.9984935586064134,4.19633333330787,50.0,199.92467793032068,25.171138499273752,0.0333666778754295,0.005138825530811313,49.99999923611111,0.0015277777777777779
12.0,0.9966666666412032,3.9962076035607326,4.195999999969444,50.0,199.81038017803664,25.186616329428546,0.03495293403305641,0.005571939560949286,49.99999916666666,0.0016666666666666668
13.0,0.9963888888587957,3.9940775330206857,4.195666666630555,50.0,199.70387665103428,25.202080816020953,0.036388706771273926,0.005999684318159082,49.99999909722222,0.0018055555555555557
14.0,0.9961111110760025,3.9920889491427554,4.195333333291203,50.0,199.60444745713778,25.21753196496269,0.03768832639194442,0.006422127315304367,49.999999027777775,0.0019444444444444446
15.0,0.9958333332928234,3.9902288208078995,4.1949999999513885,50.0,199.51144104039497,25.23296978216382,0.038864757328137545,0.00683933520958456,49.999998958333336,0.0020833333333333333
16.0,0.9955555555092586,3.988485353311775,4.19466666661111,50.0,199.42426766558873,25.248394273532767,0.03992972844296968,0.007251373813464987,49.99999888888889,0.0022222222222222222
17.0,0.9952777777253079,3.986847870496041,4.19433333327037,50.0,199.34239352480205,25.263805444976185,0.04089385088751913,0.007658308105466218,49.99999881944445,0.002361111111111111
18.0,0.9949999999409714,3.9853067081318008,4.193999999929166,50.0,199.26533540659003,25.27920330239914,0.041766724706724274,0.008060202240814489,49.99999875,0.0025
19.0,0.9947222221562492,3.9838531174800225,4.193666666587499,50.0,199.19265587400113,25.294587851704875,0.04255703526845382,0.008457119561954976,49.99999868055556,0.002638888888888889
20.0,0.9944444443711411,3.982479178056564,4.193333333245369,50.0,199.12395890282818,25.309959098795105,0.0432726404881071,0.00884912260892971,49.99999861111111,0.002777777777777778
21.0,0.9941666665856472,3.981177718722422,4.192999999902777,50.0,199.0588859361211,25.32531704956972,0.04392064972811483,0.009236273129621884,49.99999854166667,0.002916666666666667
22.0,0.9938888887997676,3.979942246303942,4.192666666559721,50.0,198.9971123151971,25.340661709926962,0.04450749516762352,0.00961863208986832,49.999998472222224,0.0030555555555555557
23.0,0.9936111110135021,3.978766881023716,4.192333333216203,50.0,198.9383440511858,25.35599308576343,0.04503899636160713,0.00999625968344175,49.99999840277778,0.0031944444444444446
24.0,0.9933333332268508,3.977646298091715,4.1919999998722215,50.0,198.88231490458574,25.37131118297401,0.045520418639887476,0.010369215341904658,49.99999833333334,0.0033333333333333335
25.0,0.9930555554398137,3.9765756748683323,4.191666666527777,50.0,198.8287837434166,25.38661600745189,0.04595652593436161,0.010737557744336317,49.99999826388889,0.0034722222222222225
26.0,0.9927777776523908,3.975550643067282,4.191333333182869,50.0,198.7775321533641,25.401907565088607,0.046351628566501636,0.011101344826934662,49.999998194444444,0.0036111111111111114
27.0,0.9924999998645821,3.974567245517135,4.190999999837499,50.0,198.72836227585674,25.41718586177393,0.046709626476339215,0.011460633792494668,49.999998125,0.0037500000000000003
28.0,0.9922222220763877,3.9736218970462707,4.190666666491666,50.0,198.68109485231352,25.432450903396045,0.04703404832815836,0.011815481119764777,49.99999805555556,0.003888888888888889
29.0,0.9919444442878074,3.972711349097607,4.190333333145369,50.0,198.63556745488034,25.44770269584137,0.047328086886530694,0.01216594257268298,49.99999798611111,0.004027777777777778
30.0,0.9916666664988413,3.9718326577170813,4.1899999997986095,50.0,198.59163288585407,25.46294124499468,0.047594631018715576,0.01251207320949415,49.999997916666665,0.004166666666666667
31.0,0.9913888887094894,3.9709831545938754,4.189666666451387,50.0,198.54915772969377,25.478166556739097,0.04783629464543261,0.012853927391750099,49.99999784722222,0.0043055555555555555
32.0,0.9911111109197517,3.9701604208611476,4.189333333103702,50.0,198.50802104305737,25.49337863695598,0.048055442931252114,0.013191558793193935,49.99999777777778,0.0044444444444444444
33.0,0.9908333331296282,3.969362263393822,4.188999999755554,50.0,198.4681131696911,25.50857749152499,0.048254215978028266,0.013525020408530198,49.99999770833333,0.004583333333333333
34.0,0.9905555553391189,3.9685866933651957,4.1886666664069425,50.0,198.42933466825977,25.523763126324184,0.048434550259638956,0.013854364562082246,49.999997638888885,0.004722222222222222
35.0,0.9902777775482238,3.967831906846836,4.1883333330578685,50.0,198.39159534234182,25.538935547229926,0.04859819801354073,0.014179642916338383,49.999997569444446,0.004861111111111111
36.0,0.9899999997569429,3.967096267256848,4.187999999708332,50.0,198.3548133628424,25.55409476011681,0.04874674478406702,0.014500906480388138,49.9999975,0.005
37.0,0.9897222219652761,3.966378289480186,4.187666666358331,50.0,198.3189144740093,25.569240770857846,0.04888162529378453,0.014818205618250138,49.99999743055555,0.005138888888888889
38.0,0.9894444441732236,3.965676625501542,4.187333333007868,50.0,198.2838312750771,25.584373585324272,0.04900413780238847,0.015131590057092982,49.999997361111106,0.005277777777777778
39.0,0.9891666663807853,3.9649900514065397,4.186999999656942,50.0,198.249502570327,25.599493209385685,0.049115457097391575,0.01544110889535049,49.999997291666666,0.005416666666666667
40.0,0.9888888885879612,3.9643174556207565,4.186666666305554,50.0,198.21587278103783,25.61459964891003,0.04921664624709127,0.01574681061073269,49.99999722222222,0.005555555555555556
41.0,0.9886111107947513,3.9636578282685377,4.186333332953701,50.0,198.1828914134269,25.62969290976349,0.049308667233844194,0.01604874306813394,49.99999715277777,0.005694444444444445
42.0,0.9883333330011556,3.96301025154485,4.185999999601387,50.0,198.1505125772425,25.644772997810605,0.04939239057441238,0.01634695352743944,49.999997083333334,0.005833333333333334
43.0,0.988055555207174,3.962373891003576,4.185666666248609,50.0,198.11869455017882,25.6598399189142,0.04946860402395623,0.01664148865123153,49.999997013888894,0.0059722222222222225
44.0,0.9877777774128067,3.9617479876749147,4.185333332895368,50.0,198.08739938374572,25.67489367893546,0.049538020451033775,0.016932394512397003,49.99999694444445,0.006111111111111111
45.0,0.9874999996180536,3.961131850932834,4.184999999541664,50.0,198.0565925466417,25.689934283733862,0.04960128496263009,0.017219716601636778,49.999996875,0.00625
46.0,0.9872222218229146,3.960524852041119,4.184666666187498,50.0,198.02624260205596,25.70496173916723,0.049658981350701424,0.01750349983487914,49.999996805555554,0.006388888888888889
47.0,0.9869444440273899,3.9599264183133296,4.1843333328328685,50.0,197.99632091566647,25.719976051091635,0.04971163792489868,0.017783788560597848,49.999996736111115,0.006527777777777778
48.0,0.9866666662314794,3.959336027828175,4.183999999477775,50.0,197.96680139140875,25.734977225361547,0.04975973278996685,0.01806062656703628,49.99999666666667,0.006666666666666667
49.0,0.986388888435183,3.9587532046473926,4.18366666612222,50.0,197.93766023236964,25.749965267829623,0.049803698620737316,0.018334057089338905,49.99999659722222,0.006805555555555556
50.0,0.9861111106385009,3.9581775144882494,4.1833333327662015,50.0,197.90887572441247,25.764940184346983,0.049843926982583164,0.018604122816591216,49.99999652777778,0.006944444444444445
51.0,0.9858333328414329,3.9576085608073748,4.18299999940972,50.0,197.88042804036874,25.779901980762986,0.04988077224064255,0.018870865898769344,49.999996458333335,0.007083333333333334
52.0,0.9855555550439792,3.9570459812567242,4.182666666052775,50.0,197.8522990628362,25.79485066292534,0.04991455509698579,0.01913432795360054,49.99999638888889,0.007222222222222223
53.0,0.9852777772461396,3.9564894444762646,4.182333332695368,50.0,197.82447222381322,25.809786236679997,0.04994556579116658,0.019394550073335588,49.99999631944444,0.007361111111111112
54.0,0.9849999994479143,3.9559386471912843,4.181999999337497,50.0,197.7969323595642,25.82470870787131,0.04997406699621904,0.01965157283143443,49.99999625,0.007500000000000001
55.0,0.9847222216493031,3.955393311585351,4.181666665979164,50.0,197.76966557926755,25.83961808234193,0.05000029643910562,0.019905436289165995,49.999996180555556,0.0076388888888888895
56.0,0.9844444438503062,3.954853182922653,4.181333332620367,50.0,197.74265914613264,25.854514365932744,0.05002446927185646,0.02015618000212341,49.99999611111111,0.007777777777777778
57.0,0.9841666660509234,3.954318027396003,4.180999999261108,50.0,197.71590136980015,25.86939756448305,0.05004678021713952,0.02040384302665566,49.99999604166667,0.007916666666666667
58.0,0.9838888882511548,3.9537876301789994,4.180666665901386,50.0,197.68938150894996,25.884267683830444,0.05006740550973847,0.020648463926216835,49.99999597222222,0.008055555555555555
59.0,0.9836111104510005,3.9532617936629593,4.180333332541201,50.0,197.66308968314797,25.899124729810808,0.05008650465336866,0.0208900807776339,49.999995902777776,0.008194444444444443
60.0,0.9833333326504603,3.9527403358609816,4.179999999180552,50.0,197.63701679304907,25.91396870825838,0.050104222010410135,0.021128731177294215,49.99999583333333,0.008333333333333331
61.0,0.9830555548495343,3.9522230889632994,4.1796666658194415,50.0,197.61115444816497,25.928799625005638,0.05012068824046169,0.021364452247253685,49.99999576388889,0.00847222222222222
62.0,0.9827777770482226,3.951709898029471,4.179333332457867,50.0,197.58549490147354,25.943617485883465,0.05013602160210488,0.021597280641266675,49.99999569444444,0.008611111111111108
63.0,0.982499999246525,3.951200619804448,4.17899999909583,50.0,197.5600309902224,25.95842229672104,0.050150329130896266,0.021827252550738623,49.999995625,0.008749999999999996
64.0,0.9822222214444416,3.9506951216466932,4.1786666657333305,50.0,197.53475608233467,25.973214063345836,0.050163707705365976,0.02205440371060242,49.99999555555556,0.008888888888888884
65.0,0.9819444436419724,3.9501932805577207,4.178333332370367,50.0,197.50966402788603,25.987992791583622,0.05017624501167923,0.022278769405119487,49.99999548611111,0.009027777777777772
66.0,0.9816666658391174,3.949694982303404,4.177999999006941,50.0,197.4847491151702,26.002758487258518,0.05018802041660221,0.02250038447360654,49.999995416666664,0.00916666666666666
67.0,0.9813888880358766,3.949200120618326,4.177666665643052,50.0,197.4600060309163,26.017511156192995,0.05019910575749591,0.022719283316089026,49.99999534722222,0.009305555555555548
68.0,0.9811111102322501,3.9487085964852824,4.1773333322787005,50.0,197.43542982426413,26.032250804207763,0.05020956605723067,0.022935499898882123,49.99999527777778,0.009444444444444436
69.0,0.9808333324282377,3.9482203174828,4.176999998913885,50.0,197.41101587414,26.046977437121882,0.05021946017116297,0.023149067760100308,49.99999520833333,0.009583333333333324
70.0,0.9805555546238395,3.947735197194197,4.176666665548607,50.0,197.38675985970985,26.061691060752764,0.05022884137263588,0.023360020015096353,49.999995138888885,0.009722222222222212
71.0,0.9802777768190555,3.9472531546723375,4.176333332182867,50.0,197.36265773361689,26.07639168091606,0.05023775788284961,0.02356838936183071,49.999995069444445,0.0098611111111111
72.0,0.9799999990138857,3.946774113954805,4.175999998816663,50.0,197.33870569774027,26.09107930342583,0.050246253350392324,0.02377420808617213,49.999995000000006,0.009999999999999988
73.0,0.9797222212083301,3.9462980036246913,4.175666665449996,50.0,197.31490018123458,26.105753934094423,0.05025436728521753,0.02397750806713047,49.99999493055556,0.010138888888888876
74.0,0.9794444434023887,3.9458247564126734,4.175333332082866,50.0,197.29123782063368,26.120415578732434,0.0502621354513992,0.024178320782022495,49.99999486111111,0.010277777777777764
75.0,0.9791666655960615,3.9453543088364653,4.174999998715274,50.0,197.26771544182327,26.13506424314886,0.05026959022258339,0.024376677311571598,49.999994791666666,0.010416666666666652
76.0,0.9788888877893485,3.9448866008740877,4.174666665347218,50.0,197.2443300437044,26.149699933151,0.05027676090368255,0.024572608344942248,49.999994722222226,0.01055555555555554
77.0,0.9786111099822496,3.944421575667752,4.1743333319786995,50.0,197.22107878338758,26.164322654544435,0.05028367402202093,0.024766144184710036,49.99999465277778,0.010694444444444428
78.0,0.978333332174765,3.943959179255454,4.173999998609718,50.0,197.1979589627727,26.17893241313311,0.05029035359083476,0.024957314751768125,49.99999458333333,0.010833333333333316
79.0,0.9780555543668946,3.943499360327649,4.173666665240273,50.0,197.17496801638245,26.193529214719263,0.050296821347754206,0.02514614959017096,49.99999451388889,0.010972222222222204
80.0,0.9777777765586384,3.9430420700066295,4.173333331870366,50.0,197.15210350033146,26.208113065103475,0.0503030969706446,0.025332677871916,49.99999444444445,0.011111111111111092
81.0,0.9774999987499964,3.9425872616464486,4.1729999984999955,50.0,197.12936308232244,26.222683970084574,0.0503091982729581,0.02551692840166431,49.999994375,0.01124999999999998
82.0,0.9772222209409686,3.9421348906514577,4.172666665129163,50.0,197.1067445325729,26.237241935459792,0.05031514138054252,0.0256989296214008,49.99999430555555,0.011388888888888869
83.0,0.9769444431315549,3.9416849143116712,4.172333331757866,50.0,197.08424571558356,26.2517869670246,0.05032094089166884,0.02587870961503485,49.999994236111114,0.011527777777777757
84.0,0.9766666653217555,3.9412372916533926,4.171999998386107,50.0,197.06186458266964,26.266319070572877,0.05032661002187149,0.02605629611294213,49.99999416666667,0.011666666666666645
85.0,0.9763888875115703,3.9407919833036247,4.171666665013884,50.0,197.03959916518124,26.28083825189674,0.05033216073504402,0.02623171649644837,49.99999409722222,0.011805555555555533
86.0,0.9761111097009992,3.9403489513669983,4.1713333316412,50.0,197.01744756834992,26.295344516786713,0.05033760386209534,0.026404997802255803,49.99999402777778,0.01194444444444442
87.0,0.9758333318900424,3.939908159313993,4.1709999982680515,50.0,196.99540796569966,26.30983787103156,0.0503429492083481,0.02657616672681304,49.999993958333334,0.012083333333333309
88.0,0.9755555540786998,3.9394695718794233,4.17066666489444,50.0,196.97347859397115,26.324318320418342,0.05034820565074806,0.026745249630629096,49.99999388888889,0.012222222222222197
89.0,0.9752777762669713,3.939033154970186,4.170333331520366,50.0,196.9516577485093,26.338785870732522,0.050353381225851944,0.02691227254253231,49.99999381944444,0.012361111111111085
90.0,0.9749999984548571,3.938598875581414,4.169999998145829,50.0,196.9299437790707,26.353240527757862,0.05035848320946931,0.027077261163874822,49.99999375,0.012499999999999973
91.0,0.974722220642357,3.9381667017202417,4.169666664770829,50.0,196.90833508601207,26.367682297276417,0.05036351818875072,0.027240240872683348,49.999993680555555,0.012638888888888861
92.0,0.9744444428294712,3.937736602336451,4.169333331395365,50.0,196.88683011682255,26.38211118506854,0.050368492127439164,0.027401236727756944,49.99999361111111,0.012777777777777749
93.0,0.9741666650161995,3.9373085472593634,4.16899999801944,50.0,196.86542736296818,26.396527196912984,0.05037341042493385,0.027560273472712424,49.99999354166667,0.012916666666666637
94.0,0.9738888872025421,3.936882507140387,4.168666664643051,50.0,196.84412535701935,26.410930338586695,0.05037827796975341,0.027717375539978096,49.99999347222222,0.013055555555555525
95.0,0.9736111093884988,3.9364584534006712,4.168333331266199,50.0,196.82292267003356,26.425320615865076,0.05038309918793009,0.027872567054736536,49.999993402777775,0.013194444444444413
96.0,0.9733333315740698,3.936036358183416,4.1679999978888835,50.0,196.8018179091708,26.43969803452177,0.050387878086816,0.028025871838816975,49.99999333333333,0.013333333333333301
97.0,0.9730555537592549,3.9356161943103745,4.167666664511106,50.0,196.78080971551873,26.45406260032877,0.050392618294736666,0.028177313414538024,49.99999326388889,0.01347222222222219
98.0,0.9727777759440542,3.935197935242159,4.167333331132865,50.0,196.75989676210796,26.468414319056365,0.05039732309688583,0.028326915008501322,49.99999319444444,0.013611111111111077
99.0,0.9724999981284678,3.9347815550420084,4.166999997754162,50.0,196.73907775210043,26.482753196473197,0.0504019954678182,0.028474699555336783,49.999993124999996,0.013749999999999965
100.0,0.9722222203124955,3.9343670283426766,4.166666664374994,50.0,196.71835141713382,26.497079238346203,0.050406638100862766,0.028620689701400005,49.99999305555556,0.013888888888888853
101.0,0.9719444424961374,3.933954330316155,4.166333330995365,50.0,196.69771651580774,26.51139245044061,0.05041125343474879,0.028764907808422543,49.99999298611112,0.014027777777777741
