time_seconds,fill_level,terminal_voltage_V,resting_voltage_V,current_A,temperature_C,fast_voltage_drop_V,slow_voltage_drop_V
1.0,0.10013875000000001,3.3779327585392234,3.3003052499999996,-25.0,22.00562500000001,-0.0023790645491010122,-0.0002484439901223712
2.0,0.10027750000000002,3.3806221579324838,3.3006105,-25.0,22.011246050781267,-0.0045317311730504566,-0.0004938017594333462
3.0,0.10041625000000003,3.3831036561285406,3.3009157499999997,-25.0,22.01686315481203,-0.0064795444829570574,-0.0007361116455835639
4.0,0.10055500000000003,3.3853967853590947,3.301221,-25.0,22.022476314559015,-0.008241998849109023,-0.0009754115099857188
5.0,0.10069375000000004,3.3875192222509143,3.3015262499999998,-25.0,22.02808553248741,-0.00983673350718417,-0.001211738743730483
6.0,0.10083250000000005,3.3894869643710783,3.3018315,-25.0,22.033690811060865,-0.011279709097649346,-0.0014451302734289405
7.0,0.10097125000000005,3.391314489972197,3.30213675,-25.0,22.03929215274144,-0.012585367405214768,-0.0016756225669824457
8.0,0.10111000000000006,3.3930149025363505,3.302442,-25.0,22.044889559989713,-0.013766775897069466,-0.0019032516392808064
9.0,0.10124875000000007,3.3946000615643146,3.30274725,-25.0,22.050483035264733,-0.014835758506485029,-0.002128053057829684
10.0,0.10138750000000007,3.3960807009190224,3.3030525,-25.0,22.056072581023955,-0.015803013970713948,-0.0023500619483080897
11.0,0.10152625000000008,3.397466535907605,3.30335775,-25.0,22.061658199723297,-0.01667822290754802,-0.00256931300005684
12.0,0.10166500000000009,3.3987663601736937,3.303663,-25.0,22.067239893817202,-0.017470144702194955,-0.002785840471498841
13.0,0.1018037500000001,3.399988133369642,3.30396825,-25.0,22.072817665758578,-0.018186705174149692,-0.0029996781954920344
14.0,0.1019425000000001,3.4011390604860754,3.3042735,-25.0,22.07839151799874,-0.018835075901459844,-0.00321085958461585
15.0,0.10208125000000011,3.4022256636326813,3.30457875,-25.0,22.083961452987467,-0.01942174599628926,-0.0034194176363919904
16.0,0.10222000000000012,3.403253846988574,3.304884,-25.0,22.08952747317312,-0.01995258705013362,-0.0036253849384403603
17.0,0.10235875000000012,3.4042289555722522,3.30518925,-25.0,22.095089581002412,-0.020432911898681638,-0.003828793673570948
18.0,0.10249750000000013,3.4051558284192733,3.3054945,-25.0,22.100647778920518,-0.020867527794460338,-0.004029675624812456
19.0,0.10263625000000014,3.406038846699813,3.3057997500000003,-25.0,22.106202069371193,-0.021260784519434126,-0.004228062180378464
20.0,0.10277500000000014,3.406881977257657,3.306105,-25.0,22.1117524547966,-0.021616617919084685,-0.004423984338571899
21.0,0.10291375000000015,3.4076888120063047,3.3064102500000003,-25.0,22.117298937637372,-0.021938589293675453,-0.004617472712628586
22.0,0.10305250000000016,3.4084626035764423,3.3067155,-25.0,22.1228415203326,-0.022229921040941653,-0.004808557535500627
23.0,0.10319125000000016,3.4092062975715103,3.3070207500000004,-25.0,22.1283802053199,-0.022493528906929905,-0.0049972686645803595
24.0,0.10333000000000017,3.40992256175413,3.307326,-25.0,22.133914995035298,-0.022732051167764684,-0.005183635586365639
25.0,0.10346875000000018,3.4106138124554697,3.30763125,-25.0,22.139445891913397,-0.022947875034402525,-0.005367687421067161
26.0,0.10360750000000019,3.411282238471801,3.3079365000000003,-25.0,22.14497289838721,-0.023143160544641647,-0.005549452927158553
