time_seconds,fill_level,terminal_voltage_V,resting_voltage_V,current_A,temperature_C,fast_voltage_drop_V,slow_voltage_drop_V
1.0,0.9997222222222222,4.034411649588219,4.199666666666666,50.0,25.015625,0.0047581290982020245,0.0004968879802447424
2.0,0.9994444444444444,4.029365600801699,4.199333333333334,50.0,25.031235026041657,0.009063462346100913,0.0009876035188666923
3.0,0.9991666666666665,4.024735354409585,4.199,50.0,25.046830087483727,0.012959088965914115,0.0014722232911671279
4.0,0.9988888888888887,4.020481845948478,4.198666666666667,50.0,25.062410193679057,0.016483997698218046,0.0019508230199714377
5.0,0.9986111111111109,4.016569722164838,4.198333333333333,50.0,25.077975353974693,0.01967346701436834,0.002423477487460966
6.0,0.9983333333333331,4.01296698792451,4.1979999999999995,50.0,25.093525577711773,0.02255941819529869,0.002890260546857881
7.0,0.9980555555555553,4.009644686722273,4.197666666666667,50.0,25.10906087422569,0.025170734810429536,0.0033512451339648914
8.0,0.9977777777777774,4.006576611593965,4.197333333333333,50.0,25.124581252845985,0.02753355179413893,0.0038065032785616127
9.0,0.9974999999999996,4.003739043538038,4.197,50.0,25.140086722896285,0.029671517012970057,0.004256106115659368
10.0,0.9972222222222218,4.001110514828622,4.196666666666666,50.0,25.155577293694478,0.031606027941427896,0.004700123896616179
11.0,0.996944444444444,3.998671594851456,4.196333333333333,50.0,25.171052974552595,0.03335644581509604,0.00513862600011368
12.0,0.9966666666666661,3.9964046963192787,4.196,50.0,25.186513774776813,0.03494028940438991,0.005571680942997682
13.0,0.9963888888888883,3.9942938999273827,4.195666666666666,50.0,25.20195970366757,0.036373410348299384,0.005999356390984069
14.0,0.9961111111111105,3.992324795694515,4.195333333333333,50.0,25.217390770519444,0.03767015180291969,0.0064217191692317
15.0,0.9958333333333327,3.990484339401304,4.194999999999999,50.0,25.23280698462122,0.03884349199257852,0.006838835272783981
16.0,0.9955555555555549,3.988760722689518,4.194666666666666,50.0,25.248208355255827,0.03990517410026724,0.007250769876880721
17.0,0.995277777777777,3.9871432555221613,4.194333333333333,50.0,25.26359489170045,0.040865823797363275,0.007657587347141896
18.0,0.9949999999999992,3.98562225982812,4.193999999999999,50.0,25.27896660322648,0.041735055588920676,0.008059351249624912
19.0,0.9947222222222214,3.984188973267041,4.193666666666666,50.0,25.29432349909945,0.04252156903886825,0.008456124360756928
20.0,0.9944444444444436,3.982835462151353,4.1933333333333325,50.0,25.30966558857915,0.04323323583816937,0.008847968677143799
21.0,0.9941666666666658,3.9815545426540573,4.192999999999999,50.0,25.324992880919638,0.04387717858735091,0.009234945425257173
22.0,0.9938888888888879,3.980339709513782,4.192666666666666,50.0,25.34030538536905,0.044459842081883305,0.009617115071001254
23.0,0.9936111111111101,3.9791850715236454,4.192333333333332,50.0,25.35560311116984,0.04498705781385981,0.009994537329160719
24.0,0.9933333333333323,3.9780852931584056,4.191999999999999,50.0,25.370886067558672,0.04546410233552937,0.010367271172731278
25.0,0.9930555555555545,3.977035541755727,4.1916666666666655,50.0,25.386154263766457,0.04589575006880505,0.010735374842134321
26.0,0.9927777777777766,3.9760314397230654,4.191333333333332,50.0,25.401407709018258,0.046286321089283294,0.011098905854317106
27.0,0.9924999999999988,3.975069021291914,4.190999999999999,50.0,25.416646412533453,0.0466397243630125,0.011457921011739895
28.0,0.992222222222221,3.9741446933866746,4.190666666666665,50.0,25.43187038352562,0.04695949686873909,0.011812476411251457
29.0,0.9919444444444432,3.973255200216632,4.190333333333332,50.0,25.447079631202598,0.047248838997179625,0.012162627452854315
30.0,0.9916666666666654,3.9723975912366973,4.189999999999999,50.0,25.462274164766427,0.04751064658160679,0.012508428848361107
31.0,0.9913888888888875,3.9715691921564,4.189666666666665,50.0,25.477453993413462,0.04774753988032209,0.012849934629943419
32.0,0.9911111111111097,3.97076757870701,4.189333333333332,50.0,25.49261912633426,0.047961889801081674,0.013187198158574423
33.0,0.9908333333333319,3.9699905529043606,4.188999999999998,50.0,25.50776957271364,0.04815584162993798,0.013520272132366635
34.0,0.9905555555555541,3.969236121569876,4.188666666666665,50.0,25.522905341730677,0.04833133650198368,0.013849208594806104
35.0,0.9902777777777763,3.9685024768948973,4.188333333333332,50.0,25.53802644255876,0.04849013082888406,0.014174058942884314
36.0,0.9899999999999984,3.967787978853901,4.187999999999998,50.0,25.553132884365482,0.04863381387763536,0.014494873935129063
37.0,0.9897222222222206,3.9670911392906474,4.187666666666665,50.0,25.568224676312752,0.04876382367648301,0.014811703699535595
38.0,0.9894444444444428,3.966410607518074,4.187333333333331,50.0,25.58330182755674,0.048881461407191705,0.015124597741399192
39.0,0.989166666666665,3.965745157287905,4.1869999999999985,50.0,25.598364347247866,0.04898790442770976,0.015433604951050483
40.0,0.9888888888888872,3.9650936749996073,4.186666666666665,50.0,25.61341224453082,0.049084218055563275,0.015738773611494658
41.0,0.9886111111111093,3.964455149030797,4.186333333333331,50.0,25.62844552854466,0.049171366229911924,0.01604015140595578
42.0,0.9883333333333315,3.9638286600823616,4.185999999999998,50.0,25.643464208422643,0.0492502211589761,0.01633778542532739
43.0,0.9880555555555537,3.963213372441744,4.185666666666664,50.0,25.6584682932924,0.04932157204938994,0.016631722175530557
44.0,0.9877777777777759,3.9626085260770387,4.185333333333332,50.0,25.67345779227577,0.04938613300484656,0.016922007584780522
45.0,0.987499999999998,3.9620134294828144,4.184999999999998,50.0,25.688432714488954,0.04944455017308787,0.017208687010763068
46.0,0.9872222222222202,3.9614274532061753,4.184666666666664,50.0,25.70339306904242,0.0494974082127683,0.01749180524772176
47.0,0.9869444444444424,3.960850023988293,4.184333333333331,50.0,25.71833886504095,0.04954523614491519,0.01777140653345713
48.0,0.9866666666666646,3.9602806194628766,4.1839999999999975,50.0,25.733270111583636,0.04958851264754898,0.018047534556238927
49.0,0.9863888888888868,3.959718763358579,4.183666666666665,50.0,25.748186817763894,0.04962767084645377,0.0183202324616325
50.0,0.9861111111111089,3.959164021157379,4.183333333333331,50.0,25.763088992669452,0.04966310265004571,0.01858954285924037
51.0,0.9858333333333311,3.95861599616558,4.182999999999997,50.0,25.777976645382353,0.049695162671724205,0.018855507829360085
52.0,0.9855555555555533,3.9580743259581435,4.182666666666664,50.0,25.792849784979012,0.04972417177896195,0.019118168929559334
53.0,0.9852777777777755,3.9575386791608405,4.182333333333331,50.0,25.807708420530048,0.04975042030465448,0.019377567201169413
54.0,0.9849999999999977,3.9570087525380977,4.181999999999998,50.0,25.822552561100565,0.04977417095286935,0.019633743175698007
55.0,0.9847222222222198,3.9564842683574257,4.181666666666664,50.0,25.83738221574987,0.04979566142807678,0.019886736881162333
56.0,0.984444444444442,3.955964972004145,4.18133333333333,50.0,25.852197393531696,0.049815106814175836,0.02013658784834359
57.0,0.9841666666666642,3.955450629822575,4.180999999999997,50.0,25.866998103494097,0.04983270172712642,0.020383335116963726
58.0,0.9838888888888864,3.9549410271621475,4.180666666666664,50.0,25.88178435467944,0.04984862226273119,0.02062701724178547
59.0,0.9836111111111085,3.9544359666089663,4.180333333333331,50.0,25.896556156124404,0.04986302775906157,0.020867672298636605
60.0,0.9833333333333307,3.9539352663851384,4.179999999999997,50.0,25.91131351686016,0.04987606239116667,0.02110533789035938
61.0,0.9830555555555529,3.9534387588999524,4.179666666666663,50.0,25.92605644591214,0.04988785661402569,0.021340051152686033
62.0,0.9827777777777751,3.9529462894384384,4.1793333333333305,50.0,25.940784952300135,0.049898528468185196,0.021571848760041333
63.0,0.9824999999999973,3.952457714974243,4.178999999999997,50.0,25.955499045038266,0.04990818476114854,0.021800766931273023
64.0,0.9822222222222194,3.9519729030950126,4.178666666666664,50.0,25.970198733135135,0.04991692213634129,0.022026841435311098
65.0,0.9819444444444416,3.9514917310295563,4.17833333333333,50.0,25.9848840255936,0.04992482804035111,0.022250107596756767
66.0,0.9816666666666638,3.9510140847671393,4.177999999999996,50.0,25.999554931410955,0.04993198159812259,0.02247060030140199
67.0,0.981388888888886,3.950539858260118,4.1776666666666635,50.0,26.014211459578803,0.049938454404866314,0.02268835400168047
68.0,0.9811111111111082,3.950068952702005,4.17733333333333,50.0,26.028853619083236,0.049944311242607745,0.02290340272205089
69.0,0.9808333333333303,3.9496012758738033,4.176999999999997,50.0,26.043481418904662,0.04994961072854756,0.02311578006431334
70.0,0.9805555555555525,3.949136741552082,4.176666666666663,50.0,26.05809486801786,0.04995440590172226,0.02332551921285962
